year,month,MKT,REG,PEAD,HMLM,STR,ILR,SMB,EPRD
1992,4,0.0107,0.019739,-0.0028,0.053896633,-0.0338,0.097397,-0.057,-0.049928
1992,5,0.003,-0.007497,0.0143,0.016685763,-0.0015,0.004472,0.0021,0.032305
1992,6,-0.0234,0.007977,0.011,0.03011076,0.0091,0.057545,-0.0274,-0.01512
1992,7,0.0377,0.000568,0.0074,-0.006585799,0.0214,-0.031729,-0.0066,0.019468
1992,8,-0.0238,-0.009025,0.0225,-0.009075567,-0.0156,0.023991,-0.0044,0.049751
1992,9,0.0119,-0.008834,0.0247,-0.012060339,-0.0112,0.000271,0.0044,-0.009822
1992,10,0.0102,0.005956,0.0255,-0.034869418,-0.002,-0.027844,0.0209,0.039669
1992,11,0.0413,-0.001686,0.0125,-0.024701551,-0.0104,0.060788,0.0398,0.016401
1992,12,0.0153,0.010366,0.0173,0.007278613,0.0123,0.002487,0.0167,-0.044771
1993,1,0.0093,0.000247,0.0018,0.040367242,-0.0045,0.000375,0.0189,-0.060046
1993,2,0.0012,0.02393,0.0073,0.072912879,-0.0149,0.017671,-0.0347,-0.050355
1993,3,0.023,0.005161,0.025,0.003785834,-0.0095,0.040322,8.00E-04,-0.011319
1993,4,-0.0305,0.020753,0.0016,0.034555354,-0.0171,0.08013,-0.0086,-0.062361
1993,5,0.0289,-0.003593,0.0075,-0.023315838,0.0149,-0.003803,0.0193,-0.004497
1993,6,0.0031,0.014058,-0.0027,0.015154354,0.0224,0.003834,0.0016,-0.055347
1993,7,-0.0034,0.007912,4.00E-04,0.027797372,-0.0266,0.044975,0.0092,-0.05879
1993,8,0.0371,0.007651,0.0063,-0.006907295,0.0128,-0.017338,0.0011,0.021942
1993,9,-0.0012,0.014091,0.0261,-0.007605038,0.0069,-0.0097,0.0294,0.036233
1993,10,0.0141,-0.011779,-0.0045,-0.000152437,0.019,-0.00207,0.0189,0.018758
1993,11,-0.0189,0.001227,0.0219,0.014731692,-0.0139,-0.007759,-0.0118,0.032543
1993,12,0.0165,0.022577,0.0012,0.004946507,0.0107,0.028231,0.0138,-0.004597
1994,1,0.0287,0.009317,0.012,0.022386953,0.0169,0.026015,8.00E-04,-0.065295
1994,2,-0.0255,0.016046,0.0035,-0.013919021,0.0036,-0.011324,0.0267,0.056175
1994,3,-0.0478,0.012552,-0.01,0.018759138,9.00E-04,0.028264,-0.0109,0.001079
1994,4,0.0068,0.015313,0.0037,0.016172578,-0.0038,-0.035113,-0.01,-0.005071
1994,5,0.0058,0.012084,0.0099,0.009177806,6.00E-04,-0.013521,-0.0253,-0.01414
1994,6,-0.0303,0.013259,0.0171,0.019547358,0.0014,-0.026226,-0.0048,0.008696
1994,7,0.0282,-0.001256,0.0107,0.018588712,0.0149,-0.003046,-0.0179,-0.005727
1994,8,0.0401,0.026728,-0.0249,-0.025276007,0.0144,-0.022157,0.0138,0.028258
1994,9,-0.0231,0.00894,0.0087,-0.021342185,-0.0077,0.032313,0.0276,0.002385
1994,10,0.0134,0.02476,0.0126,-0.021512876,-0.0022,-0.030338,-0.0231,0.036972
1994,11,-0.0404,0.014395,0.0032,-0.000329552,-0.0201,0.035889,0.0013,0.068792
